Protocol,Port,Domain,Request Status,Screenshot Path, Source Path
http,80,www.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.hub.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.www.backblaze.com.txt
http,80,blog.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.blog.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.blog.backblaze.com.txt
http,80,dataroom.backblaze.com,Timeout,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.dataroom.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.dataroom.backblaze.com.txt
http,80,df.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.df.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.df.backblaze.com.txt
http,80,fn.eu.df.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.fn.eu.df.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.fn.eu.df.backblaze.com.txt
http,80,fn.us.df.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.fn.us.df.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.fn.us.df.backblaze.com.txt
http,80,files.backblaze.com,Timeout,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.files.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.files.backblaze.com.txt
http,80,www.files.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.www.files.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.www.files.backblaze.com.txt
http,80,fw-sam0-0000.backblaze.com,Timeout,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.fw-sam0-0000.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.fw-sam0-0000.backblaze.com.txt
http,80,help.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.help.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.help.backblaze.com.txt
http,80,www.help.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.www.help.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.www.help.backblaze.com.txt
http,80,hub.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.hub.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.hub.backblaze.com.txt
http,80,info.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.hub.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.info.backblaze.com.txt
http,80,ir.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.ir.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.ir.backblaze.com.txt
http,80,partnerportal.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.partnerportal.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.partnerportal.backblaze.com.txt
http,80,postman.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.postman.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.postman.backblaze.com.txt
http,80,preferences.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.preferences.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.preferences.backblaze.com.txt
http,80,secure.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.secure.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.secure.backblaze.com.txt
http,80,securemail.backblaze.com,Timeout,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.securemail.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.securemail.backblaze.com.txt
http,80,status.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.status.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.status.backblaze.com.txt
http,80,testing-preferences.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.preferences.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.testing-preferences.backblaze.com.txt
http,80,www.tng.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.www.tng.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.www.tng.backblaze.com.txt
http,80,secure.tng.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.secure.tng.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.secure.tng.backblaze.com.txt
http,80,try.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.try.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.try.backblaze.com.txt
http,80,trynow.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.trynow.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.trynow.backblaze.com.txt
http,80,webflow-prod.backblaze.com,Successful,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.webflow-prod.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.webflow-prod.backblaze.com.txt
http,80,webflow-staging.backblaze.com,BadStatus,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/screens/http.webflow-staging.backblaze.com.png,/workspaces/MY-thesis01/Hamood Thesis/results/screenshots/source/http.webflow-staging.backblaze.com.txt